InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
569211,23330,DECORATIVE WICKER HEART MEDIUM,6,2011-10-02 12:04:00,1.25,15774.0,United Kingdom,7.5
544803,22475,SKULL DESIGN TV DINNER TRAY,1,2011-02-23 14:29:00,4.95,14606.0,United Kingdom,4.95
556469,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2011-06-12 11:37:00,1.25,12516.0,Germany,15.0
546642,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2011-03-15 13:13:00,1.25,12779.0,Poland,30.0
548780,85099B,JUMBO BAG RED RETROSPOT,10,2011-04-04 12:37:00,1.95,13294.0,United Kingdom,19.5
566234,23349,ROLL WRAP VINTAGE CHRISTMAS,1,2011-09-11 11:08:00,1.25,15035.0,United Kingdom,1.25
563019,22178,VICTORIAN GLASS HANGING T-LIGHT,24,2011-08-11 12:58:00,1.25,17340.0,United Kingdom,30.0
549239,22311,OFFICE MUG WARMER BLACK+SILVER ,6,2011-04-07 11:37:00,2.95,13102.0,United Kingdom,17.700000000000003
562587,22095,LADS ONLY TISSUE BOX,10,2011-08-07 14:34:00,0.39,15640.0,United Kingdom,3.9
544913,22223,CAKE PLATE LOVEBIRD PINK,1,2011-02-24 15:26:00,4.95,15543.0,United Kingdom,4.95
551396,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2011-04-28 12:49:00,0.85,17720.0,United Kingdom,10.2
569488,22738,RIBBON REEL SNOWY VILLAGE,5,2011-10-04 13:10:00,1.65,16440.0,United Kingdom,8.25
544913,22221,CAKE STAND LOVEBIRD 2 TIER PINK,1,2011-02-24 15:26:00,9.95,15543.0,United Kingdom,9.95
576303,23356,LOVE HOT WATER BOTTLE,1,2011-11-14 14:51:00,5.95,15532.0,United Kingdom,5.95
543984,22969,HOMEMADE JAM SCENTED CANDLES,24,2011-02-15 09:35:00,1.45,15601.0,United Kingdom,34.8
578783,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2011-11-25 11:58:00,1.25,12748.0,United Kingdom,15.0
565730,71053,WHITE METAL LANTERN,6,2011-09-06 12:02:00,3.75,14715.0,United Kingdom,22.5
562370,22897,OVEN MITT APPLES DESIGN,10,2011-08-04 14:20:00,1.45,12626.0,Germany,14.5
579175,22114,HOT WATER BOTTLE TEA AND SYMPATHY,6,2011-11-28 14:39:00,4.25,14562.0,United Kingdom,25.5
549720,20727,LUNCH BAG  BLACK SKULL.,1,2011-04-11 15:25:00,1.65,14606.0,United Kingdom,1.65
579301,23322,LARGE WHITE HEART OF WICKER,2,2011-11-29 11:32:00,2.95,18118.0,United Kingdom,5.9
552276,21703,BAG 125g SWIRLY MARBLES,72,2011-05-08 12:31:00,0.42,18142.0,United Kingdom,30.24
566162,23432,PRETTY HANGING QUILTED HEARTS,12,2011-09-09 11:46:00,0.83,15249.0,United Kingdom,9.96
571828,23199,JUMBO BAG APPLES,3,2011-10-19 11:52:00,2.08,16440.0,United Kingdom,6.24
581126,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-12-07 12:43:00,1.25,18272.0,United Kingdom,15.0
544804,22501,PICNIC BASKET WICKER LARGE,4,2011-02-23 14:40:00,9.95,17504.0,United Kingdom,39.8
580296,23388,WOODLAND MINI BACKPACK,2,2011-12-02 13:49:00,4.15,13780.0,United Kingdom,8.3
581452,23356,LOVE HOT WATER BOTTLE,12,2011-12-08 18:03:00,5.95,17675.0,United Kingdom,71.4
580776,22434,BALLOON PUMP WITH 10 BALLOONS,1,2011-12-06 11:05:00,1.95,14562.0,United Kingdom,1.95
567855,21497,FANCY FONTS BIRTHDAY WRAP,25,2011-09-22 13:38:00,0.42,13220.0,United Kingdom,10.5
575668,22733,3D TRADITIONAL CHRISTMAS STICKERS,1,2011-11-10 14:59:00,1.25,18283.0,United Kingdom,1.25
573362,23486,ANTIQUE HEART SHELF UNIT,1,2011-10-30 13:06:00,16.65,12597.0,Spain,16.65
570380,22489,PACK OF 12 TRADITIONAL CRAYONS,1,2011-10-10 12:35:00,0.42,14606.0,United Kingdom,0.42
536992,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,36,2010-12-03 15:16:00,2.55,15769.0,United Kingdom,91.8
570210,22980,PANTRY SCRUBBING BRUSH,2,2011-10-09 10:48:00,1.65,13259.0,United Kingdom,3.3
559933,21735,TWO DOOR CURIO CABINET,1,2011-07-14 09:54:00,12.75,16719.0,United Kingdom,12.75
562031,82551,LAUNDRY 15C METAL SIGN,4,2011-08-01 17:37:00,1.45,16984.0,United Kingdom,5.8
562204,22563,HAPPY STENCIL CRAFT,14,2011-08-03 12:54:00,1.25,16324.0,United Kingdom,17.5
562619,16008,SMALL FOLDING SCISSOR(POINTED EDGE),12,2011-08-08 12:34:00,0.12,15311.0,United Kingdom,1.44
540265,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2011-01-06 10:46:00,0.85,15271.0,United Kingdom,10.2
571304,23354,6 GIFT TAGS 50'S CHRISTMAS ,12,2011-10-17 09:37:00,0.83,12526.0,Germany,9.96
570964,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,2011-10-13 11:50:00,1.65,12766.0,Portugal,19.8
549885,22427,ENAMEL FLOWER JUG CREAM,3,2011-04-12 15:32:00,5.95,17204.0,United Kingdom,17.85
569699,22027,TEA PARTY BIRTHDAY CARD,12,2011-10-05 15:52:00,0.42,12723.0,France,5.04
540513,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2011-01-09 11:41:00,2.55,13758.0,United Kingdom,81.6
570420,22512,DOORSTOP RACING CAR DESIGN,1,2011-10-10 13:33:00,3.75,17841.0,United Kingdom,3.75
538367,20830,SILVER PHOTO FRAME,6,2010-12-12 10:48:00,2.1,14800.0,United Kingdom,12.6
580304,21908,CHOCOLATE THIS WAY METAL SIGN,12,2011-12-02 14:25:00,2.1,18055.0,United Kingdom,25.200000000000003
568212,22398,MAGNETS PACK OF 4 SWALLOWS,1,2011-09-25 16:05:00,0.39,15154.0,United Kingdom,0.39
560024,22197,POPCORN HOLDER,10,2011-07-14 13:00:00,0.85,15005.0,United Kingdom,8.5
551824,22236,CAKE STAND 3 TIER MAGIC GARDEN,1,2011-05-04 12:32:00,12.75,15128.0,United Kingdom,12.75
573155,20978,36 PENCILS TUBE SKULLS,16,2011-10-28 08:34:00,1.25,13632.0,United Kingdom,20.0
572076,22996,TRAVEL CARD WALLET VINTAGE TICKET,24,2011-10-20 14:01:00,0.42,13761.0,United Kingdom,10.08
578719,21981,PACK OF 12 WOODLAND TISSUES ,12,2011-11-25 11:25:00,0.39,17348.0,United Kingdom,4.68
576045,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-11-13 14:42:00,4.25,15022.0,United Kingdom,8.5
578925,22576,SWALLOW WOODEN CHRISTMAS DECORATION,2,2011-11-27 12:13:00,0.85,17365.0,United Kingdom,1.7
568894,21929,JUMBO BAG PINK VINTAGE PAISLEY,1,2011-09-29 13:04:00,2.08,17528.0,United Kingdom,2.08
546563,22748,POPPY'S PLAYHOUSE KITCHEN,6,2011-03-15 10:49:00,2.1,15047.0,United Kingdom,12.6
538354,22150,3 STRIPEY MICE FELTCRAFT,18,2010-12-10 15:45:00,1.95,16873.0,United Kingdom,35.1
578929,22560,TRADITIONAL MODELLING CLAY,7,2011-11-27 12:31:00,1.25,13064.0,United Kingdom,8.75
581395,22208,WOOD STAMP SET THANK YOU,1,2011-12-08 13:18:00,0.83,16892.0,United Kingdom,0.83
570423,20727,LUNCH BAG  BLACK SKULL.,5,2011-10-10 13:38:00,1.65,14451.0,United Kingdom,8.25
572861,21670,BLUE SPOT CERAMIC DRAWER KNOB,6,2011-10-26 12:46:00,1.45,14102.0,United Kingdom,8.7
576071,23496,PANTRY KITCHEN THERMOMETER ,1,2011-11-13 16:03:00,1.25,18069.0,United Kingdom,1.25
577027,POST,POSTAGE,5,2011-11-17 12:56:00,18.0,12647.0,Germany,90.0
552257,23156,SET OF 5 MINI GROCERY MAGNETS,2,2011-05-08 11:08:00,2.08,16923.0,United Kingdom,4.16
576051,22423,REGENCY CAKESTAND 3 TIER,6,2011-11-13 14:45:00,12.75,14911.0,EIRE,76.5
561430,22809,SET OF 6 T-LIGHTS SANTA,6,2011-07-27 11:29:00,2.95,15172.0,United Kingdom,17.700000000000003
575086,21669,BLUE STRIPE CERAMIC DRAWER KNOB,24,2011-11-08 13:52:00,1.45,16618.0,United Kingdom,34.8
568919,21985,PACK OF 12 HEARTS DESIGN TISSUES ,12,2011-09-29 14:38:00,0.39,12937.0,United Kingdom,4.68
559898,22831,WHITE BROCANTE SOAP DISH,2,2011-07-13 12:18:00,2.95,16225.0,United Kingdom,5.9
556486,22231,JIGSAW TREE WITH BIRDHOUSE,12,2011-06-12 13:22:00,0.59,17422.0,United Kingdom,7.08
563855,22813,PACK 3 BOXES BIRD PANNETONE ,12,2011-08-19 15:29:00,1.95,14709.0,United Kingdom,23.4
547669,21937,STRAWBERRY   PICNIC BAG,1,2011-03-24 13:37:00,2.95,12748.0,United Kingdom,2.95
560244,47566,PARTY BUNTING,3,2011-07-17 12:14:00,4.95,16931.0,United Kingdom,14.85
572865,23196,VINTAGE LEAF MAGNETIC NOTEPAD,1,2011-10-26 13:01:00,1.45,17841.0,United Kingdom,1.45
567798,15056N,EDWARDIAN PARASOL NATURAL,6,2011-09-22 12:00:00,5.95,13089.0,United Kingdom,35.7
552457,20725,LUNCH BAG RED RETROSPOT,10,2011-05-09 14:40:00,1.65,16477.0,United Kingdom,16.5
573556,22726,ALARM CLOCK BAKELIKE GREEN,8,2011-10-31 13:51:00,3.75,17675.0,United Kingdom,30.0
581168,72800B, 4 PURPLE FLOCK DINNER CANDLES,12,2011-12-07 14:52:00,0.79,16779.0,United Kingdom,9.48
546062,16008,SMALL FOLDING SCISSOR(POINTED EDGE),72,2011-03-09 10:51:00,0.25,16221.0,United Kingdom,18.0
575602,23582,VINTAGE DOILY JUMBO BAG RED ,2,2011-11-10 12:27:00,2.08,17059.0,United Kingdom,4.16
574867,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2011-11-07 12:39:00,4.25,16817.0,United Kingdom,34.0
559673,20728,LUNCH BAG CARS BLUE,10,2011-07-11 14:10:00,1.65,13224.0,United Kingdom,16.5
550835,82578,KITCHEN METAL SIGN,2,2011-04-21 10:52:00,0.55,15034.0,United Kingdom,1.1
552039,15044C,PURPLE PAPER PARASOL,6,2011-05-06 08:10:00,2.95,13081.0,United Kingdom,17.700000000000003
562348,22899,CHILDREN'S APRON DOLLY GIRL ,12,2011-08-04 12:36:00,2.1,17511.0,United Kingdom,25.200000000000003
567170,21175,GIN + TONIC DIET METAL SIGN,1,2011-09-18 12:40:00,2.55,13566.0,United Kingdom,2.55
545340,21389,IVORY HANGING DECORATION  BIRD,12,2011-03-02 08:41:00,0.85,15416.0,United Kingdom,10.2
545695,22722,SET OF 6 SPICE TINS PANTRY DESIGN,8,2011-03-06 14:15:00,3.95,17050.0,United Kingdom,31.6
573576,82551,LAUNDRY 15C METAL SIGN,1,2011-10-31 14:09:00,2.46,14096.0,United Kingdom,2.46
566073,84030E,ENGLISH ROSE HOT WATER BOTTLE,2,2011-09-08 19:58:00,4.25,14562.0,United Kingdom,8.5
579098,23301,GARDENERS KNEELING PAD KEEP CALM ,1,2011-11-28 11:18:00,1.65,14606.0,United Kingdom,1.65
557975,23209,LUNCH BAG DOILEY PATTERN ,20,2011-06-24 10:33:00,1.65,15981.0,United Kingdom,33.0
549047,84751B,BLACK MEDIUM GLASS CAKE STAND,2,2011-04-06 10:07:00,0.79,17783.0,United Kingdom,1.58
568528,23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,16,2011-09-27 13:32:00,0.83,13979.0,United Kingdom,13.28
545634,22030,SWALLOWS GREETING CARD,12,2011-03-04 12:12:00,0.42,14911.0,EIRE,5.04
564049,20984,12 PENCILS TALL TUBE POSY,48,2011-08-22 13:30:00,0.29,17585.0,United Kingdom,13.919999999999998
577160,82583,HOT BATHS METAL SIGN,12,2011-11-18 10:05:00,2.1,16134.0,United Kingdom,25.200000000000003
537126,20724,RED RETROSPOT CHARLOTTE BAG,3,2010-12-05 12:13:00,0.85,18118.0,United Kingdom,2.55
557211,22624,IVORY KITCHEN SCALES,12,2011-06-17 11:49:00,7.65,15513.0,United Kingdom,91.8
557468,82600,NO SINGING METAL SIGN,1,2011-06-20 13:14:00,2.1,16713.0,United Kingdom,2.1
551558,23206,LUNCH BAG APPLE DESIGN,2,2011-05-03 10:41:00,1.65,17841.0,United Kingdom,3.3
580136,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,12,2011-12-01 19:42:00,1.25,17841.0,United Kingdom,15.0
551143,22320,BIRDS MOBILE VINTAGE DESIGN,3,2011-04-26 13:25:00,5.95,13092.0,United Kingdom,17.85
567134,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-09-16 14:20:00,2.08,12600.0,Germany,20.8
569148,22113,GREY HEART HOT WATER BOTTLE,4,2011-09-30 15:52:00,4.25,16613.0,United Kingdom,17.0
560921,23275,SET OF 3 HANGING OWLS OLLIE BEAK,12,2011-07-21 19:17:00,1.25,16224.0,United Kingdom,15.0
575607,22414,DOORMAT NEIGHBOURHOOD WITCH ,1,2011-11-10 12:37:00,15.79,14096.0,United Kingdom,15.79
547074,84527,FLAMES SUNGLASSES PINK LENSES,12,2011-03-20 14:35:00,1.95,13102.0,United Kingdom,23.4
543371,21864,UNION JACK FLAG PASSPORT COVER ,4,2011-02-07 14:53:00,2.1,14048.0,United Kingdom,8.4
570446,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,12,2011-10-10 14:49:00,2.95,12431.0,Belgium,35.400000000000006
564372,22383,LUNCH BAG SUKI DESIGN ,10,2011-08-25 09:55:00,1.65,12714.0,France,16.5
550621,22907,PACK OF 20 NAPKINS PANTRY DESIGN,4,2011-04-19 13:41:00,0.85,13263.0,United Kingdom,3.4
574836,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2011-11-07 11:32:00,11.95,17623.0,United Kingdom,23.9
580880,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-12-06 12:19:00,3.95,14121.0,United Kingdom,94.8
576514,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-11-15 12:13:00,2.95,13950.0,United Kingdom,17.700000000000003
552121,21498,RED RETROSPOT WRAP ,25,2011-05-06 11:40:00,0.42,15757.0,United Kingdom,10.5
549128,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2,2011-04-06 14:25:00,6.75,16713.0,United Kingdom,13.5
565807,22896,PEG BAG APPLES DESIGN,6,2011-09-07 10:55:00,2.55,14334.0,United Kingdom,15.3
578516,21819,GLITTER CHRISTMAS STAR ,36,2011-11-24 13:53:00,0.39,14591.0,United Kingdom,14.04
576665,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,3,2011-11-16 11:46:00,2.95,17841.0,United Kingdom,8.850000000000001
560098,23194,GYMKHANA TREASURE BOOK BOX,1,2011-07-14 17:44:00,2.25,16907.0,United Kingdom,2.25
568480,23267,SET OF 4 SANTA PLACE SETTINGS,12,2011-09-27 11:52:00,1.25,17490.0,United Kingdom,15.0
539106,22625,RED KITCHEN SCALES,12,2010-12-16 10:51:00,7.65,16705.0,United Kingdom,91.8
560732,22853,CAT BOWL VINTAGE CREAM,2,2011-07-20 14:55:00,3.25,14056.0,United Kingdom,6.5
576645,22228,BUNNY WOODEN PAINTED WITH BIRD ,12,2011-11-16 10:14:00,0.39,16245.0,United Kingdom,4.68
576587,21731,RED TOADSTOOL LED NIGHT LIGHT,6,2011-11-15 14:23:00,1.65,18123.0,United Kingdom,9.9
574311,22186,RED STAR CARD HOLDER,6,2011-11-03 16:56:00,1.95,15640.0,United Kingdom,11.7
553660,84924A,WAKE UP COCKEREL CALENDAR SIGN ,4,2011-05-18 11:58:00,3.75,14620.0,United Kingdom,15.0
560562,23118,PARISIENNE JEWELLERY DRAWER ,2,2011-07-19 13:34:00,7.5,15713.0,United Kingdom,15.0
557743,21313,GLASS HEART T-LIGHT HOLDER ,12,2011-06-22 11:59:00,0.85,18155.0,United Kingdom,10.2
562574,22470,HEART OF WICKER LARGE,4,2011-08-07 12:42:00,2.95,14903.0,United Kingdom,11.8
573380,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,3,2011-10-30 14:04:00,2.55,14572.0,United Kingdom,7.649999999999999
562204,22780,LIGHT GARLAND BUTTERFILES PINK,1,2011-08-03 12:54:00,4.25,16324.0,United Kingdom,4.25
538171,21882,SKULLS TAPE,5,2010-12-09 20:01:00,0.65,17530.0,United Kingdom,3.25
539761,20704,MR ROBOT SOFT TOY,8,2010-12-22 10:29:00,1.95,17593.0,United Kingdom,15.6
543370,22917,HERB MARKER ROSEMARY,12,2011-02-07 14:51:00,0.65,12359.0,Cyprus,7.800000000000001
580615,21917,SET 12 KIDS  WHITE CHALK STICKS,24,2011-12-05 12:05:00,0.42,16873.0,United Kingdom,10.08
569672,22357,KINGS CHOICE BISCUIT TIN,1,2011-10-05 13:58:00,4.25,17841.0,United Kingdom,4.25
570455,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2011-10-10 15:27:00,2.95,14529.0,United Kingdom,2.95
547886,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2011-03-28 09:21:00,0.29,13652.0,United Kingdom,13.919999999999998
537372,21818,GLITTER CHRISTMAS HEART ,4,2010-12-06 12:52:00,0.85,16919.0,United Kingdom,3.4
572858,21175,GIN + TONIC DIET METAL SIGN,2,2011-10-26 12:36:00,2.55,13571.0,United Kingdom,5.1
556491,23103,JINGLE BELL HEART DECORATION,6,2011-06-12 14:15:00,1.65,16794.0,United Kingdom,9.9
577077,21828,EIGHT PIECE SNAKE  SET,5,2011-11-17 15:16:00,1.25,17799.0,United Kingdom,6.25
578068,23138,SINGLE WIRE HOOK IVORY HEART,2,2011-11-22 15:45:00,1.45,14505.0,United Kingdom,2.9
564821,23293,SET OF 12 FAIRY CAKE BAKING CASES,1,2011-08-30 12:16:00,0.83,14078.0,United Kingdom,0.83
563555,22628,PICNIC BOXES SET OF 3 RETROSPOT ,2,2011-08-17 13:21:00,4.95,16755.0,United Kingdom,9.9
538826,22784,LANTERN CREAM GAZEBO ,9,2010-12-14 12:58:00,4.95,12370.0,Cyprus,44.55
562087,21985,PACK OF 12 HEARTS DESIGN TISSUES ,4,2011-08-02 12:31:00,0.29,14606.0,United Kingdom,1.16
578995,20971,PINK BLUE FELT CRAFT TRINKET BOX,6,2011-11-27 15:59:00,1.25,15861.0,United Kingdom,7.5
540986,21136,PAINTED METAL PEARS ASSORTED,8,2011-01-12 16:14:00,1.69,15291.0,United Kingdom,13.52
571307,23395,BELLE JARDINIERE CUSHION COVER,4,2011-10-17 10:10:00,3.75,14443.0,United Kingdom,15.0
551028,84637,KITCHEN FLOWER POTS WALL PLAQUE,3,2011-04-26 11:30:00,5.95,13842.0,United Kingdom,17.85
544294,22718,CARD CAT AND TREE ,12,2011-02-17 12:42:00,0.42,15601.0,United Kingdom,5.04
567183,22200,FRYING PAN PINK POLKADOT,2,2011-09-18 15:32:00,4.25,14769.0,United Kingdom,8.5
573897,21262,WHITE GOOSE FEATHER CHRISTMAS TREE ,4,2011-11-01 14:29:00,2.95,16729.0,United Kingdom,11.8
574170,23493,VINTAGE DOILY TRAVEL SEWING KIT,6,2011-11-03 11:43:00,1.95,16221.0,United Kingdom,11.7
574965,22834,HAND WARMER BABUSHKA DESIGN,1,2011-11-08 10:44:00,2.1,17964.0,United Kingdom,2.1
542617,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,1,2011-01-30 15:48:00,4.25,17463.0,United Kingdom,4.25
547253,22272,FELTCRAFT DOLL MARIA,3,2011-03-22 10:44:00,2.95,13869.0,United Kingdom,8.850000000000001
537829,22569,FELTCRAFT CUSHION BUTTERFLY,4,2010-12-08 14:46:00,3.75,15498.0,United Kingdom,15.0
563565,20848,ZINC HEART LATTICE CHARGER SMALL,3,2011-08-17 14:22:00,2.95,17338.0,United Kingdom,8.850000000000001
557217,22714,CARD BIRTHDAY COWBOY,12,2011-06-17 12:30:00,0.42,17426.0,United Kingdom,5.04
576249,21098,CHRISTMAS TOILET ROLL,1,2011-11-14 13:47:00,1.25,17811.0,United Kingdom,1.25
539222,20726,LUNCH BAG WOODLAND,10,2010-12-16 13:00:00,1.65,14621.0,United Kingdom,16.5
545066,85203,HANGING WOOD AND FELT BUTTERFLY ,3,2011-02-27 14:44:00,0.42,13610.0,United Kingdom,1.26
537354,22356,CHARLOTTE BAG PINK POLKADOT,2,2010-12-06 12:23:00,0.85,12748.0,United Kingdom,1.7
558892,37340,MULTICOLOUR SPRING FLOWER MUG,48,2011-07-04 15:46:00,0.39,17581.0,United Kingdom,18.72
556815,22350,ILLUSTRATED CAT BOWL ,6,2011-06-15 08:36:00,2.55,14852.0,United Kingdom,15.3
567662,22662,LUNCH BAG DOLLY GIRL DESIGN,4,2011-09-21 15:12:00,1.65,17758.0,United Kingdom,6.6
576212,23193,BUFFALO BILL TREASURE BOOK BOX,1,2011-11-14 12:45:00,2.25,18082.0,United Kingdom,2.25
581146,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,1,2011-12-07 13:53:00,2.1,17602.0,United Kingdom,2.1
575607,21422,PORCELAIN ROSE SMALL,1,2011-11-10 12:37:00,1.63,14096.0,United Kingdom,1.63
565595,22582,PACK OF 6 SWEETIE GIFT BOXES,6,2011-09-05 14:13:00,2.55,13192.0,United Kingdom,15.3
568062,84926A,WAKE UP COCKEREL TILE COASTER,24,2011-09-23 13:18:00,0.29,14014.0,United Kingdom,6.959999999999999
577743,23388,WOODLAND MINI BACKPACK,2,2011-11-21 13:44:00,4.15,17006.0,United Kingdom,8.3
572335,23569,TRADTIONAL ALPHABET STAMP SET,4,2011-10-24 10:27:00,4.95,14493.0,United Kingdom,19.8
541593,21671,RED SPOT CERAMIC DRAWER KNOB,6,2011-01-19 15:20:00,1.25,17611.0,United Kingdom,7.5
560580,82482,WOODEN PICTURE FRAME WHITE FINISH,54,2011-07-19 15:23:00,2.1,14088.0,United Kingdom,113.4
538067,22630,DOLLY GIRL LUNCH BOX,4,2010-12-09 13:59:00,1.95,15288.0,United Kingdom,7.8
537864,22616,PACK OF 12 LONDON TISSUES ,24,2010-12-08 16:34:00,0.29,16700.0,United Kingdom,6.959999999999999
574043,23535,WALL ART BICYCLE SAFETY,2,2011-11-02 13:13:00,5.95,16367.0,United Kingdom,11.9
576071,23241,TREASURE TIN GYMKHANA DESIGN,1,2011-11-13 16:03:00,2.08,18069.0,United Kingdom,2.08
552139,21713,CITRONELLA CANDLE FLOWERPOT,4,2011-05-06 11:55:00,2.1,14659.0,United Kingdom,8.4
577477,22112,CHOCOLATE HOT WATER BOTTLE,3,2011-11-20 11:32:00,4.95,14157.0,United Kingdom,14.85
560244,22584,PACK OF 6 PANNETONE GIFT BOXES,3,2011-07-17 12:14:00,2.55,16931.0,United Kingdom,7.649999999999999
540508,82494L,WOODEN FRAME ANTIQUE WHITE ,4,2011-01-09 11:20:00,2.95,14810.0,United Kingdom,11.8
549980,84596L,BISCUITS SMALL BOWL LIGHT BLUE,2,2011-04-13 15:36:00,0.42,14062.0,United Kingdom,0.84
568915,22900,SET 2 TEA TOWELS I LOVE LONDON ,6,2011-09-29 13:56:00,3.25,14948.0,United Kingdom,19.5
550034,22899,CHILDREN'S APRON DOLLY GIRL ,6,2011-04-14 11:48:00,2.1,16187.0,United Kingdom,12.6
540372,22624,IVORY KITCHEN SCALES,2,2011-01-06 16:41:00,8.5,13081.0,United Kingdom,17.0
540536,22681,FRENCH BLUE METAL DOOR SIGN 6,3,2011-01-09 14:21:00,1.25,17757.0,United Kingdom,3.75
552826,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-05-11 13:20:00,1.25,14277.0,France,15.0
573360,21891,TRADITIONAL WOODEN SKIPPING ROPE,4,2011-10-30 12:51:00,1.45,15748.0,United Kingdom,5.8
546670,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,5,2011-03-15 15:37:00,1.65,13451.0,United Kingdom,8.25
